sampleID	bioSampleID	dataset	target_gene	marker	molecule	accessions
DNA_1	UK1-U1-MC01-C7	deep_sea	18S rRNA	V9	DNA	ERR7223142
DNA_2	UK1-U1-MC01-C7	deep_sea	18S rRNA	V9	DNA	ERR7223144
DNA_3	UK1-U1-MC01-C7	deep_sea	18S rRNA	V9	DNA	ERR7223146;ERR7223708
DNA_4	UK1-U1-MC01-C8	deep_sea	18S rRNA	V9	DNA	ERR7223148
DNA_5	UK1-U1-MC01-C8	deep_sea	18S rRNA	V9	DNA	ERR7223150;ERR7223709
DNA_6	UK1-U1-MC01-C8	deep_sea	18S rRNA	V9	DNA	ERR7223152;ERR7223710
DNA_7	UK1-U2-MC02-C3	deep_sea	18S rRNA	V9	DNA	ERR7223154;ERR7223711
DNA_8	UK1-U2-MC02-C3	deep_sea	18S rRNA	V9	DNA	ERR7223156;ERR7223712
DNA_9	UK1-U2-MC02-C3	deep_sea	18S rRNA	V9	DNA	ERR7223158;ERR7223713
DNA_10	UK1-U2-MC02-C6	deep_sea	18S rRNA	V9	DNA	ERR7223160;ERR7223714
DNA_11	UK1-U2-MC02-C6	deep_sea	18S rRNA	V9	DNA	ERR7223162
DNA_12	UK1-U2-MC02-C6	deep_sea	18S rRNA	V9	DNA	ERR7223164
DNA_13	UK1-U3-MC03-C2	deep_sea	18S rRNA	V9	DNA	ERR7223166
DNA_14	UK1-U3-MC03-C2	deep_sea	18S rRNA	V9	DNA	ERR7223168;ERR7223715
DNA_15	UK1-U3-MC03-C2	deep_sea	18S rRNA	V9	DNA	ERR7223170
DNA_16	UK1-U3-MC03-C9	deep_sea	18S rRNA	V9	DNA	ERR7223172
DNA_17	UK1-U3-MC03-C9	deep_sea	18S rRNA	V9	DNA	ERR7223174
DNA_18	UK1-U3-MC03-C9	deep_sea	18S rRNA	V9	DNA	ERR7223176
DNA_19	UK1-U5-MC04-C4	deep_sea	18S rRNA	V9	DNA	ERR7223178;ERR7223719
DNA_20	UK1-U5-MC04-C4	deep_sea	18S rRNA	V9	DNA	ERR7223180;ERR7223720
DNA_21	UK1-U5-MC04-C4	deep_sea	18S rRNA	V9	DNA	ERR7223182;ERR7223721
DNA_22	UK1-U5-MC04-C8	deep_sea	18S rRNA	V9	DNA	ERR7223184;ERR7223722
DNA_23	UK1-U5-MC04-C8	deep_sea	18S rRNA	V9	DNA	ERR7223723
DNA_24	UK1-U5-MC04-C8	deep_sea	18S rRNA	V9	DNA	ERR7223724
DNA_25	UK1-U4-MC05-C1	deep_sea	18S rRNA	V9	DNA	ERR7223190;ERR7223725
DNA_26	UK1-U4-MC05-C1	deep_sea	18S rRNA	V9	DNA	ERR7223726
DNA_27	UK1-U4-MC05-C1	deep_sea	18S rRNA	V9	DNA	ERR7223194;ERR7223728
DNA_28	UK1-U4-MC05-C9	deep_sea	18S rRNA	V9	DNA	ERR7223196;ERR7223729
DNA_29	UK1-U4-MC05-C9	deep_sea	18S rRNA	V9	DNA	ERR7223730
DNA_30	UK1-U4-MC05-C9	deep_sea	18S rRNA	V9	DNA	ERR7223200;ERR7223731
DNA_31	UK1-U6-MC06-C6	deep_sea	18S rRNA	V9	DNA	ERR7223202
DNA_32	UK1-U6-MC06-C6	deep_sea	18S rRNA	V9	DNA	ERR7223204;ERR7223732
DNA_33	UK1-U6-MC06-C6	deep_sea	18S rRNA	V9	DNA	ERR7223206;ERR7223733
DNA_34	UK1-U6-MC06-C11	deep_sea	18S rRNA	V9	DNA	ERR7223208;ERR7223734
DNA_35	UK1-U6-MC06-C11	deep_sea	18S rRNA	V9	DNA	ERR7223210;ERR7223736
DNA_36	UK1-U6-MC06-C11	deep_sea	18S rRNA	V9	DNA	ERR7223737
DNA_37	OMS1-S1-MC07-C4	deep_sea	18S rRNA	V9	DNA	ERR7223214;ERR7223738
DNA_38	OMS1-S1-MC07-C4	deep_sea	18S rRNA	V9	DNA	ERR7223216;ERR7223739
DNA_39	OMS1-S1-MC07-C4	deep_sea	18S rRNA	V9	DNA	no_pcr_products
DNA_40	OMS1-S1-MC07-C8	deep_sea	18S rRNA	V9	DNA	ERR7223218;ERR7223740
DNA_41	OMS1-S1-MC07-C8	deep_sea	18S rRNA	V9	DNA	ERR7223220;ERR7223741
DNA_43	OMS1-S3-MC08-C8	deep_sea	18S rRNA	V9	DNA	ERR7223222
DNA_44	OMS1-S3-MC08-C8	deep_sea	18S rRNA	V9	DNA	ERR7223224
DNA_45	OMS1-S3-MC08-C8	deep_sea	18S rRNA	V9	DNA	ERR7223226;ERR7223742
DNA_46	OMS1-S3-MC08-C11	deep_sea	18S rRNA	V9	DNA	ERR7223228
DNA_47	OMS1-S3-MC08-C11	deep_sea	18S rRNA	V9	DNA	ERR7223230
DNA_48	OMS1-S3-MC08-C11	deep_sea	18S rRNA	V9	DNA	ERR7223232;ERR7223743
DNA_49	OMS1-S4-MC09-C6	deep_sea	18S rRNA	V9	DNA	ERR7223234;ERR7223744
DNA_50	OMS1-S4-MC09-C6	deep_sea	18S rRNA	V9	DNA	ERR7223236
DNA_51	OMS1-S4-MC09-C6	deep_sea	18S rRNA	V9	DNA	ERR7223238;ERR7223745
DNA_52	OMS1-S4-MC09-C10	deep_sea	18S rRNA	V9	DNA	ERR7223240
DNA_53	OMS1-S4-MC09-C10	deep_sea	18S rRNA	V9	DNA	ERR7223242;ERR7223746
