sampleID	bioSampleID	dataset	target_gene	marker	molecule	Tara_biome_original	expedition	basin	area	watling_basins	Biome	Tara_depth_nominal	province	station	deployment	core	pseudoreplicate	samp_size	samp_mat_process	samp_collect_device	collection_timestamp	collection_date	latitude	longitude	lower_size_...µm	upper_size_...µm	size_class	depth	primprod	calcite	nitrate	PAR_mean	ph	silicate	sst_mean	sst_range	srf_current	slope	PIC_mean	POC_mean	tsm_mean	sb_nitrate	sb_o2dissolve	sb_o2utilized	sb_silicate	sb_temp	phosphate	sb_salinity	wat_col_temp	seafloor_depth	POC_seafloor	POC_export
DNA_1	UK1-U1-MC01-C7	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U1	UK1-U1-MC01	UK1-U1-MC01-C7	UK1-U1-MC01-C7-R1	2 ml	lifeguard preservation solution	multiple corer	17/02/2015	17/02/2015	12.4162542	-116.7148288	0	1		4126.0	306.422088623047	6.02758598327637	2	43	8.20602798461914	2	27	1.0825480222702	-0.0640159994363785	0.372333586215973	86.7502136230469	46.7252311706543	0.0674439966678619	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6363983154297	6.83779191970825	-4010.14697265625	1.649197727	6.55604553222656
DNA_2	UK1-U1-MC01-C7	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U1	UK1-U1-MC01	UK1-U1-MC01-C7	UK1-U1-MC01-C7-R2	2 ml	lifeguard preservation solution	multiple corer	17/02/2015	17/02/2015	12.4162542	-116.7148288	0	1		4126.0	306.422088623047	6.02758598327637	2	43	8.20602798461914	2	27	1.0825480222702	-0.0640159994363785	0.372333586215973	86.7502136230469	46.7252311706543	0.0674439966678619	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6363983154297	6.83779191970825	-4010.14697265625	1.649197727	6.55604553222656
DNA_3	UK1-U1-MC01-C7	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U1	UK1-U1-MC01	UK1-U1-MC01-C7	UK1-U1-MC01-C7-R3	2 ml	lifeguard preservation solution	multiple corer	17/02/2015	17/02/2015	12.4162542	-116.7148288	0	1		4126.0	306.422088623047	6.02758598327637	2	43	8.20602798461914	2	27	1.0825480222702	-0.0640159994363785	0.372333586215973	86.7502136230469	46.7252311706543	0.0674439966678619	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6363983154297	6.83779191970825	-4010.14697265625	1.649197727	6.55604553222656
DNA_4	UK1-U1-MC01-C8	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U1	UK1-U1-MC01	UK1-U1-MC01-C8	UK1-U1-MC01-C8-R1	2 ml	lifeguard preservation solution	multiple corer	17/02/2015	17/02/2015	12.4162542	-116.7148288	0	1		4126.0	306.422088623047	6.02758598327637	2	43	8.20602798461914	2	27	1.0825480222702	-0.0640159994363785	0.372333586215973	86.7502136230469	46.7252311706543	0.0674439966678619	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6363983154297	6.83779191970825	-4010.14697265625	1.649197727	6.55604553222656
DNA_5	UK1-U1-MC01-C8	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U1	UK1-U1-MC01	UK1-U1-MC01-C8	UK1-U1-MC01-C8-R2	2 ml	lifeguard preservation solution	multiple corer	17/02/2015	17/02/2015	12.4162542	-116.7148288	0	1		4126.0	306.422088623047	6.02758598327637	2	43	8.20602798461914	2	27	1.0825480222702	-0.0640159994363785	0.372333586215973	86.7502136230469	46.7252311706543	0.0674439966678619	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6363983154297	6.83779191970825	-4010.14697265625	1.649197727	6.55604553222656
DNA_6	UK1-U1-MC01-C8	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U1	UK1-U1-MC01	UK1-U1-MC01-C8	UK1-U1-MC01-C8-R3	2 ml	lifeguard preservation solution	multiple corer	17/02/2015	17/02/2015	12.4162542	-116.7148288	0	1		4126.0	306.422088623047	6.02758598327637	2	43	8.20602798461914	2	27	1.0825480222702	-0.0640159994363785	0.372333586215973	86.7502136230469	46.7252311706543	0.0674439966678619	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6363983154297	6.83779191970825	-4010.14697265625	1.649197727	6.55604553222656
DNA_7	UK1-U2-MC02-C3	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U2	UK1-U2-MC02	UK1-U2-MC02-C3	UK1-U2-MC02-C3-R1	2 ml	lifeguard preservation solution	multiple corer	18/02/2015	18/02/2015	12.3670323	-116.5170188	0	1		4166.0	307.361389160156	6.2144980430603	2	43	8.20642375946045	2	27	1.1903430223465	-0.0638542622327805	0.498131603002548	86.334716796875	46.3722610473633	0.0666614100337029	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6369514465332	6.83177614212036	-3952.7080078125	1.649197727	6.55604553222656
DNA_8	UK1-U2-MC02-C3	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U2	UK1-U2-MC02	UK1-U2-MC02-C3	UK1-U2-MC02-C3-R2	2 ml	lifeguard preservation solution	multiple corer	18/02/2015	18/02/2015	12.3670323	-116.5170188	0	1		4166.0	307.361389160156	6.2144980430603	2	43	8.20642375946045	2	27	1.1903430223465	-0.0638542622327805	0.498131603002548	86.334716796875	46.3722610473633	0.0666614100337029	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6369514465332	6.83177614212036	-3952.7080078125	1.649197727	6.55604553222656
DNA_9	UK1-U2-MC02-C3	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U2	UK1-U2-MC02	UK1-U2-MC02-C3	UK1-U2-MC02-C3-R3	2 ml	lifeguard preservation solution	multiple corer	18/02/2015	18/02/2015	12.3670323	-116.5170188	0	1		4166.0	307.361389160156	6.2144980430603	2	43	8.20642375946045	2	27	1.1903430223465	-0.0638542622327805	0.498131603002548	86.334716796875	46.3722610473633	0.0666614100337029	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6369514465332	6.83177614212036	-3952.7080078125	1.649197727	6.55604553222656
DNA_10	UK1-U2-MC02-C6	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U2	UK1-U2-MC02	UK1-U2-MC02-C6	UK1-U2-MC02-C6-R1	2 ml	lifeguard preservation solution	multiple corer	18/02/2015	18/02/2015	12.3670323	-116.5170188	0	1		4166.0	307.361389160156	6.2144980430603	2	43	8.20642375946045	2	27	1.1903430223465	-0.0638542622327805	0.498131603002548	86.334716796875	46.3722610473633	0.0666614100337029	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6369514465332	6.83177614212036	-3952.7080078125	1.649197727	6.55604553222656
